id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012,num_establishments_2007,value_x1000_2007,payroll_x1000_2007,num_employees_2007,num_establishments_2002,value_x1000_2002,payroll_x1000_2002,num_employees_2002
104,32311,Printing,51,83874,14671,701,127,199533,42286,1856,172,207246,47481,2250,164,247620,49828,2865
105,32312,Support activities for printing,51,83874,14671,701,20,25228,4782,192,17,30552,6813,270,17,37773,7015,317
106,324,Petroleum and coal products manufacturing,51,83874,14671,701,29,1863170,18363,737,33,3946820,37985,952,32,1525356,48229,1374
107,3241,Petroleum and coal products manufacturing,51,83874,14671,701,29,1863170,18363,737,33,3946820,37985,952,32,1525356,48229,1374
108,32411,Petroleum refineries,51,83874,14671,701,2,n/d,n/d,n/d,8,3727701,20509,n/d,9,798245,26353,554
109,32412,"Asphalt paving, roofing,51,83874,14671,701, and saturated materials manufacturing",51,83874,14671,701,23,266321,12993,577,22,214175,16676,568,19,n/d,n/d,n/d
110,32419,Other petroleum and coal products manufacturing,51,83874,14671,701,4,n/d,n/d,n/d,3,4945,801,41,4,n/d,n/d,n/d
111,325,Chemical manufacturing,51,83874,14671,701,109,52141139,1123672,17466,151,52063586,1568221,30841,154,39808729,1228680,28937
112,3251,Basic chemical manufacturing,51,83874,14671,701,9,58583,8018,179,18,147333,14970,481,14,49419,6733,290
113,32519,Other basic organic chemical manufacturing,51,83874,14671,701,1,n/d,n/d,n/d,3,3166,624,30,1,n/d,n/d,n/d
114,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",51,83874,14671,701,2,n/d,n/d,n/d,5,229553,39792,1503,4,n/d,n/d,n/d
115,3254,Pharmaceutical and medicine manufacturing,51,83874,14671,701,46,50892509,1022042,14097,65,50404540,1418103,25550,74,38446602,1109166,25036
116,3255,"Paint, coating, and adhesive manufacturing",51,83874,14671,701,20,293238,41020,1510,24,246842,32099,1481,20,214620,33000,1112
117,32551,Paint and coating manufacturing,51,83874,14671,701,11,212708,27091,1123,15,154748,17955,1053,13,135113,18427,652
118,32552,Adhesive manufacturing,51,83874,14671,701,9,80530,13928,387,9,92094,14145,428,7,79507,14573,460
119,3256,"Soap, cleaning compound, and toilet preparation manufacturing",51,83874,14671,701,22,417205,37662,1247,27,763538,52718,1562,32,886493,68012,2040
120,32561,Soap and cleaning compound manufacturing,51,83874,14671,701,16,140440,11775,391,19,131883,15038,375,22,120140,11494,460
121,32562,Toilet preparation manufacturing,51,83874,14671,701,6,276765,25886,856,8,631654,37681,1188,10,766353,56518,1580
122,3259,Other chemical product and preparation manufacturing,51,83874,14671,701,8,49963,7481,294,7,52470,2947,100,5,37547,1941,75
123,326,Plastics and rubber products manufacturing,51,83874,14671,701,48,435862,54102,1788,66,424286,56681,2426,67,499007,82411,3754
124,3261,Plastics product manufacturing,51,83874,14671,701,39,426156,52326,1707,55,412297,54040,2266,57,485671,78013,3573
125,3262,Rubber product manufacturing,51,83874,14671,701,9,9706,1776,81,11,11988,2640,159,10,13336,4398,181
126,327,Nonmetallic mineral product manufacturing,51,83874,14671,701,117,365630,58058,2286,166,586346,102050,4401,157,529642,82210,3956
127,3271,Clay product and refractory manufacturing,51,83874,14671,701,5,4176,260,n/d,9,3292,508,n/d,3,n/d,n/d,n/d
128,3272,Glass and glass product manufacturing,51,83874,14671,701,4,5249,1204,72,7,24343,6535,254,4,41364,6590,310
129,3273,Cement and concrete product manufacturing,51,83874,14671,701,97,350138,55196,2121,134,544529,92350,3915,138,468368,68933,3328
130,32731,Cement manufacturing,51,83874,14671,701,9,118359,16722,429,11,188830,27497,677,3,n/d,n/d,n/d
131,32732,Ready-mix concrete manufacturing,51,83874,14671,701,47,149076,20155,751,67,237107,37491,1576,77,268887,35373,1466
132,32733,"Concrete pipe, brick, and block manufacturing",51,83874,14671,701,20,29384,5547,333,30,54726,11329,717,31,n/d,n/d,n/d
133,32739,Other concrete product manufacturing,51,83874,14671,701,21,53319,12771,610,26,63867,16033,947,27,86267,15246,1031
134,3279,Other nonmetallic mineral product manufacturing,51,83874,14671,701,11,6066,1397,79,16,14181,2656,188,11,17080,5985,241
135,331,Primary metal manufacturing,51,83874,14671,701,43,113258,12736,792,23,95689,8921,511,34,75152,12508,973
136,3311,Iron and steel mills and ferroalloy manufacturing,51,83874,14671,701,15,38120,5229,253,8,39216,3671,195,14,34131,4547,326
137,3313,Alumina and aluminum production and processing,51,83874,14671,701,17,19242,5116,342,3,7580,350,31,10,n/d,n/d,n/d
138,3314,Nonferrous metal (except aluminum) production and processing,51,83874,14671,701,3,n/d,n/d,n/d,4,3245,337,25,2,n/d,n/d,n/d
139,3315,Foundries,51,83874,14671,701,4,23703,1679,110,7,45172,4515,254,1,n/d,n/d,n/d
140,332,Fabricated metal product manufacturing,51,83874,14671,701,197,481938,81175,4200,308,1055388,128352,7077,289,782960,105703,6960
141,3321,Forging and stamping,51,83874,14671,701,9,9497,1444,82,17,16701,3529,188,17,26288,4076,271
142,3323,Architectural and structural metals manufacturing,51,83874,14671,701,102,251985,48252,2572,172,409451,64274,4331,165,350791,60925,3966
143,3324,"Boiler, tank, and shipping container manufacturing",51,83874,14671,701,10,67986,8755,357,15,84035,11972,453,15,248025,12034,537
