id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
212,3341,Computer and peripheral equipment manufacturing,4,n/d,n/d,n/d,n/d,n/d,n/d,n/d
213,33411,Computer and peripheral equipment manufacturing,4,n/d,n/d,n/d,n/d,n/d,n/d,n/d
214,3344,Semiconductor and other electronic component manufacturing,4,n/d,n/d,n/d,5,434214,14677,804
215,33441,Semiconductor and other electronic component manufacturing,4,n/d,n/d,n/d,n/d,n/d,n/d,n/d
216,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",13,354382,77901,2269,16,343403,58803,1800
217,33451,"Navigational, measuring, electromedical, and control instruments manufacturing",13,354382,77901,2269,n/d,n/d,n/d,n/d
218,335,"Electrical equipment, appliance, and component manufacturing",26,1147067,121504,3762,35,1226859,126829,4121
219,3351,Electric lighting equipment manufacturing,4,60509,6765,218,8,120887,9149,395
220,33512,Lighting fixture manufacturing,3,n/d,n/d,n/d,n/d,n/d,n/d,n/d
221,3353,Electrical equipment manufacturing,14,961788,97711,2816,20,1006920,101359,3087
222,33531,Electrical equipment manufacturing,14,961788,97711,2816,n/d,n/d,n/d,n/d
223,3359,Other electrical equipment and component manufacturing,7,n/d,n/d,n/d,n/d,n/d,n/d,n/d
224,33593,Wiring device manufacturing,4,n/d,n/d,n/d,n/d,n/d,n/d,n/d
225,336,Transportation equipment manufacturing,15,32366,4755,216,16,19921,4035,226
226,3362,Motor vehicle body and trailer manufacturing,3,4105,478,29,2,n/d,n/d,n/d
227,33621,Motor vehicle body and trailer manufacturing,3,4105,478,29,n/d,n/d,n/d,n/d
228,3363,Motor vehicle parts manufacturing,8,19666,3137,168,8,13538,3011,186
229,33631,Motor vehicle gasoline engine and engine parts manufacturing,5,18976,2996,156,n/d,n/d,n/d,n/d
230,3366,Ship and boat building,3,448,90,5,4,834,136,n/d
231,33661,Ship and boat building,3,448,90,5,n/d,n/d,n/d,n/d
232,337,Furniture and related product manufacturing,85,87601,16567,864,81,110048,19216,1265
233,3371,Household and institutional furniture and kitchen cabinet manufacturing,60,37715,8203,491,60,72580,13340,903
234,33711,Wood kitchen cabinet and countertop manufacturing,34,7343,2010,229,35,19210,5030,400
235,33712,Household and institutional furniture manufacturing,26,30371,6192,262,25,53370,8310,503
236,3372,Office furniture (including fixtures) manufacturing,10,14811,3105,171,9,21510,3810,226
237,33721,Office furniture (including fixtures) manufacturing,10,14811,3105,171,n/d,n/d,n/d,n/d
